name_en,name_he,name_ar,front,lat,lon,precision,matched_query
Ramon,רמון,رمون,Judea & Samaria,31.931199,35.299858,exact,en
Al-Lubban,א-לובן,اللبن,Judea & Samaria,32.035111,35.039713,exact,en
Habla,חבלה,حبلة,Judea & Samaria,32.164016,34.982771,exact,en
Khirbat al-Marjam,ח'רבת אל מרג'אם,خربة المرجم,Judea & Samaria,,,unresolved,
Kfar Qud,כפר קוד,كفر قود,Judea & Samaria,32.456819,35.228537,exact,en
Abush,עבוש,كفر عبوش,Judea & Samaria,32.222208,35.085056,exact,ar
Funduq,פונדוק,الفندق,Judea & Samaria,32.190216,35.136056,exact,en
Jaba,ג'בע,جبع,Judea & Samaria,32.32379,35.221598,exact,en
Beit Sahour,בית סאחור,بيت ساحور,Judea & Samaria,31.702087,35.229739,exact,en
Um al-Khair,אום אל-חיר,أم الخير,Judea & Samaria,31.432374,35.185575,exact,en
Fureidis,פורדיס,الفريديس,Judea & Samaria,31.67154,35.244912,exact,en
Amejun,עמג'ון,أمجون,Judea & Samaria,,,unresolved,
A-Dik,א-דיק,كفر الديك,Judea & Samaria,32.066284,35.083506,exact,ar
Izbat Shufa,עזבת שופה,عزبة شوفة,Judea & Samaria,32.281637,35.047835,exact,en
Beirut,ביירות,بيروت,Lebanon,33.889226,35.502558,exact,en
Nabatieh,נבטיה,النبطية,Lebanon,33.30791,35.505969,exact,en
Tyre,צור,صور,Lebanon,33.272121,35.196402,exact,en
Baalbek,בעלבכ,بعلبك,Lebanon,34.009653,36.21171,exact,en
Bekaa Valley,הבקעא,سهل البقاع,Lebanon,33.641089,35.732814,exact,en
Naqoura,א-נקורה,الناقورة,Lebanon,33.118274,35.129825,exact,en
Ayta ash-Shab,עייתא א-שעב,عيتا الشعب,Lebanon,33.099125,35.340805,exact,en
Khiam,אל-חיאם,الخيام,Lebanon,33.327223,35.60897,exact,en
Houla,חולא,حولا,Lebanon,33.210183,35.518734,exact,en
Yaroun,ירון,يارون,Lebanon,33.083563,35.41669,exact,en
Hanin,חנין,حنين,Lebanon,33.109004,35.382081,exact,en
Beit Yahoun,בית יהון,بيت ياحون,Lebanon,33.158183,35.421196,exact,en
Mays al-Jabal,מיס אל ג'בל,ميس الجبل,Lebanon,33.169953,35.524196,exact,en
Remiah,רמיה,رامية,Lebanon,33.111136,35.309988,exact,ar
Bint Jbeil,בינת ג'בל,بنت جبيل,Lebanon,33.119538,35.432793,exact,en
Maroun al-Ras,מארון א-ראס,مارون الراس,Lebanon,33.080749,35.422287,exact,en
Aitaroun,עיתרון,عيترون,Lebanon,33.116387,35.471501,exact,en
Cana,כפר קאנא,قانا,Lebanon,33.809944,35.665415,exact,en
Blida,בליידא,بليدا,Lebanon,33.136325,35.504601,exact,en
Marwahin,מרווחין,مروحين,Lebanon,33.108647,35.276736,exact,en
Rachaiya Al-Foukhar,רשיא אל פוחאר,راشيا الفخار,Lebanon,33.354173,35.667482,exact,en
Dahieh,דאחייה,الضاحية,Lebanon,33.845257,35.507051,exact,en
Kfar Kila,כפר כילא,كفركلا,Lebanon,33.282713,35.558755,exact,en
Tair Harfa,טיר חרפא,طير حرفا,Lebanon,33.126686,35.219131,exact,en
Al-Jabin,אל-ג'בין,الجبين,Lebanon,33.122137,35.235294,exact,en
Yater,יעטר,ياطر,Lebanon,33.155463,35.331742,exact,en
Shuba,כפר שובא,كفرشوبا,Lebanon,33.327666,35.692734,exact,en
Tsideqin,זבקין,زبقين,Lebanon,33.157044,35.263639,exact,ar
Al-Matmura,אל-מטמורה,المطمورة,Lebanon,33.107611,35.217478,exact,en
Labbouneh,לבונה,اللبونة,Lebanon,33.093314,35.148683,exact,en
Markaba,מרכבא,مركبا,Lebanon,33.231362,35.51768,exact,en
Shebaa,שבעא,شبعا,Lebanon,33.344475,35.749426,exact,en
Yarin,יארין,يارين,Lebanon,33.106207,35.2329,exact,en
Odaisseh,אל עדייסא,العديسة,Lebanon,33.257762,35.546683,exact,en
Khirbet Selm,ח'רבת סלם,خربة سلم,Lebanon,33.232188,35.419574,exact,en
Shibriha,שבריחה,شبريحا,Lebanon,33.292102,35.23199,exact,ar
Burj al-Shemali,בורג' א-שמאלי,برج الشمالي,Lebanon,33.267774,35.236719,exact,en
Rabb al-Thalathin,רב א-תלתין,رب ثلاثين,Lebanon,,,unresolved,
Nafakhiyeh,נפח'יה,النفاخية,Lebanon,33.270975,35.386535,exact,ar
Tebnine,תבנין,تبنين,Lebanon,33.193258,35.4118,exact,en
Faron,פארון,فرون,Lebanon,33.29684,35.426489,exact,ar
Muhaibib,מחייביב,محيبيب,Lebanon,33.151179,35.499709,exact,ar
Ainata,עינתא,عيناتا,Lebanon,34.186753,36.081682,exact,en
Ni'mat al-Fawqa,נעמת אל-פוקא,نعمات الفوقا,Lebanon,,,unresolved,
Damascus,דמשק,دمشق,Syria,33.51307,36.309581,exact,en
Khadar,ח'דר,حضر,Syria,36.541821,40.762138,exact,en
Tasil,תסיל,تسيل,Syria,32.834625,35.970605,exact,en
Tadmor,תדמור,تدمر,Syria,34.552661,38.259261,exact,en
T4,T4,تي فور,Syria,34.516,37.632597,exact,en
Sana'a,צנעא,صنعاء,Yemen,15.35,44.2,exact,en
Hodeidah,חודידה,الحديدة,Yemen,14.797868,42.954487,exact,en
Ras Isa,ראס עיסא,رأس عيسى,Yemen,15.188541,42.662465,exact,en
Al-Salif,א-סליף,الصليف,Yemen,15.305202,42.670675,exact,en
Al-Jawf,אל-ג'וף,الجوف,Yemen,16.689733,45.611556,exact,en
Tehran,טהראן,طهران,Iran,35.689252,51.3896,exact,en
Kermanshah,כרמנשאה,كرمانشاه,Iran,34.378974,46.701012,exact,en
Hamadan,המדאן,همدان,Iran,34.97263,48.656382,exact,en
Isfahan,אצפהאן,أصفهان,Iran,32.670788,51.665,exact,en
Bushehr,בושהאר,بوشهر,Iran,28.893664,51.320488,exact,en
Ahvaz,אהווז,الأحواز,Iran,31.323064,48.67932,exact,en
Yazd,יזד,يزد,Iran,32.040616,54.665719,exact,en
Dezful,דזפול,دزفول,Iran,32.378026,48.403206,exact,en
Tabriz,טבריז,تبريز,Iran,38.073861,46.297879,exact,en
Natanz,נטנז,نطنز,Iran,33.507128,51.913555,exact,en
